node1,node2,timestamp
1,2,1
3,4,2
5,2,3
6,7,4
8,7,5
9,10,6
9,11,7
12,13,8
9,14,9
9,15,10
9,16,11
9,17,12
9,14,13
9,18,14
19,18,15
20,21,16
19,22,17
8,23,18
9,24,19
9,22,20
25,21,21
26,7,22
27,28,23
29,25,24
30,31,25
30,31,26
30,31,27
30,31,28
32,33,29
34,35,30
34,33,31
36,37,32
38,39,33
36,40,34
41,15,35
41,11,36
41,14,37
41,13,38
41,39,39
41,42,40
41,43,41
9,40,42
44,45,43
46,22,44
44,46,45
47,46,46
48,46,47
9,49,48
36,50,49
44,51,50
32,52,51
36,32,52
53,54,53
36,55,54
56,57,55
36,32,56
36,58,57
44,59,58
51,58,59
44,14,60
36,56,61
36,60,62
56,61,63
62,50,64
36,60,65
32,59,66
36,60,67
36,50,68
41,63,69
41,64,70
41,65,71
41,56,72
41,61,73
41,43,74
41,52,75
41,58,76
41,59,77
9,64,78
9,58,79
12,66,80
32,58,81
12,66,82
67,32,83
41,32,84
67,32,85
32,68,86
68,56,87
67,32,88
67,32,89
68,61,90
67,32,91
67,8,92
69,67,93
70,51,94
44,50,95
67,32,96
71,58,97
71,72,98
51,58,99
72,71,100
73,74,101
74,73,102
73,74,103
74,73,104
34,58,105
44,75,106
44,75,107
9,58,108
73,74,109
9,76,110
32,77,111
41,76,112
41,78,113
79,48,114
79,63,115
41,80,116
79,58,117
41,81,118
79,70,119
19,82,120
19,72,121
12,32,122
19,64,123
19,58,124
19,58,125
19,58,126
19,52,127
83,59,128
51,70,129
38,58,130
41,58,131
63,79,132
41,63,133
67,59,134
41,63,135
41,58,136
44,84,137
19,85,138
19,72,139
3,84,140
19,8,141
19,58,142
84,86,143
83,58,144
36,60,145
86,48,146
87,63,147
36,88,148
87,8,149
36,89,150
90,56,151
36,90,152
36,84,153
91,92,154
36,93,155
91,92,156
36,90,157
91,92,158
36,60,159
36,84,160
51,58,161
94,84,162
36,84,163
94,84,164
94,84,165
69,84,166
69,95,167
87,8,168
3,84,169
3,84,170
48,86,171
84,8,172
91,81,173
96,88,174
8,84,175
84,8,176
91,47,177
97,98,178
98,97,179
97,98,180
48,97,181
99,8,182
99,8,183
97,48,184
100,101,185
102,97,186
97,48,187
97,102,188
101,100,189
48,58,190
97,48,191
103,72,192
103,58,193
104,59,194
104,59,195
103,72,196
105,56,197
106,72,198
105,61,199
105,8,200
105,33,201
105,107,202
105,81,203
44,102,204
36,105,205
36,104,206
34,108,207
34,109,208
36,110,209
111,112,210
34,58,211
36,113,212
36,109,213
79,109,214
114,105,215
101,115,216
56,90,217
56,105,218
56,68,219
29,58,220
87,58,221
44,116,222
44,117,223
44,117,224
44,79,225
80,58,226
96,32,227
118,100,228
119,120,229
119,120,230
120,119,231
120,75,232
119,120,233
120,119,234
119,58,235
74,73,236
118,120,237
121,108,238
72,106,239
44,92,240
26,122,241
44,79,242
1,123,243
96,124,244
125,126,245
36,104,246
44,79,247
44,79,248
36,124,249
36,127,250
36,128,251
44,79,252
44,129,253
44,116,254
9,120,255
79,58,256
36,109,257
124,109,258
36,109,259
124,61,260
124,72,261
36,109,262
36,112,263
124,85,264
85,124,265
32,130,266
36,112,267
124,85,268
72,124,269
124,8,270
131,30,271
99,126,272
103,72,273
103,72,274
103,63,275
103,117,276
103,72,277
131,30,278
69,95,279
69,124,280
69,79,281
132,30,282
36,99,283
36,133,284
36,60,285
36,134,286
36,133,287
36,81,288
103,72,289
103,135,290
133,135,291
135,133,292
36,133,293
103,135,294
19,52,295
133,135,296
103,135,297
103,135,298
135,133,299
133,135,300
36,133,301
36,133,302
36,133,303
9,109,304
9,109,305
62,136,306
96,32,307
137,138,308
96,137,309
19,120,310
44,90,311
96,137,312
137,138,313
19,139,314
44,60,315
44,88,316
44,102,317
44,90,318
19,111,319
44,90,320
9,32,321
44,90,322
44,90,323
103,63,324
103,72,325
38,86,326
140,105,327
103,72,328
38,86,329
38,101,330
38,101,331
38,101,332
103,101,333
38,101,334
103,101,335
38,61,336
75,120,337
38,81,338
44,141,339
44,141,340
44,74,341
44,127,342
124,135,343
140,124,344
19,82,345
19,82,346
19,82,347
105,56,348
19,82,349
124,135,350
105,58,351
105,63,352
19,82,353
105,61,354
105,135,355
124,135,356
71,72,357
135,124,358
9,32,359
